UserPrincipalName,DisplayName,FirstName,LastName,JobTitle,Role,Specialty,Department,EmployeeType,EmployeeID,Company,OfficeLocation,City,State,Country,UsageLocation,ManagerUPN,CostCenter,LicenseSKU,AccountEnabled,ContractStartDate,ContractEndDate,PasswordPolicies,ContractorTier,SecurityClearance,BackgroundCheckStatus,NDA_Signed
tanya.brooks@arbofelipe2003outlook.onmicrosoft.com,Tanya Brooks,Tanya,Brooks,Red Team Operator,Red Team Operator,Adversary Simulation,Cybersecurity Contractors,Contractor,CTR-2025-0011,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-15,2026-05-05,DisablePasswordExpiration,External,Secret,Completed,Signed
hiro.tanaka@arbofelipe2003outlook.onmicrosoft.com,Hiro Tanaka,Hiro,Tanaka,Network Penetration Tester,Penetration Tester,Internal Network & AD Attacks,Cybersecurity Contractors,Contractor,CTR-2025-0012,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-16,2026-05-05,DisablePasswordExpiration,External,Secret,Completed,Signed
amara.diallo@arbofelipe2003outlook.onmicrosoft.com,Amara Diallo,Amara,Diallo,Cloud Security Engineer,Cloud Security Engineer,Azure & Entra ID Security,Cybersecurity Contractors,Contractor,CTR-2025-0013,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-07,2026-05-05,DisablePasswordExpiration,External,Secret,Completed,Signed
noah.steinberg@arbofelipe2003outlook.onmicrosoft.com,Noah Steinberg,Noah,Steinberg,Cloud Security Architect,Cloud Security Architect,AWS & Multi-Cloud Security,Cybersecurity Contractors,Contractor,CTR-2025-0014,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-12,2026-05-05,DisablePasswordExpiration,External,Secret,Completed,Signed
fatima.al-rashid@arbofelipe2003outlook.onmicrosoft.com,Fatima Al-Rashid,Fatima,Al-Rashid,AI-Driven Security Posture Analyst,CSPM Analyst,Misconfiguration & CSPM Tooling,Cybersecurity Contractors,Contractor,CTR-2025-0015,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-06,2026-05-05,DisablePasswordExpiration,External,None,Completed,Signed
damon.pierce@arbofelipe2003outlook.onmicrosoft.com,Damon Pierce,Damon,Pierce,Cyber Threat Intelligence Analyst,Threat Intelligence Analyst,APT Tracking & OSINT,Cybersecurity Contractors,Contractor,CTR-2025-0016,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-19,2026-05-05,DisablePasswordExpiration,External,Public Trust,Completed,Signed
ingrid.larsson@arbofelipe2003outlook.onmicrosoft.com,Ingrid Larsson,Ingrid,Larsson,Malware & Reverse Engineering Analyst,Malware Analyst,Malware Reverse Engineering,Cybersecurity Contractors,Contractor,CTR-2025-0017,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-18,2026-05-05,DisablePasswordExpiration,External,None,Completed,Signed
carlos.fuentes@arbofelipe2003outlook.onmicrosoft.com,Carlos Fuentes,Carlos,Fuentes,Vulnerability Management Analyst,Vuln Management Analyst,Tenable & Qualys,Cybersecurity Contractors,Contractor,CTR-2025-0018,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-06,2026-05-05,DisablePasswordExpiration,External,Secret,Completed,Signed
simone.dupont@arbofelipe2003outlook.onmicrosoft.com,Simone Dupont,Simone,Dupont,Digital Forensics & IR Specialist,DFIR Specialist,Memory & Disk Forensics,Cybersecurity Contractors,Contractor,CTR-2025-0019,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-08,2026-05-05,DisablePasswordExpiration,External,Secret,Completed,Signed
kai.nguyen@arbofelipe2003outlook.onmicrosoft.com,Kai Nguyen,Kai,Nguyen,Application Security Engineer,AppSec Engineer,SAST/DAST & Secure SDLC,Cybersecurity Contractors,Contractor,CTR-2025-0020,CyberSec Contract Group,Remote,Remote,N/A,US,US,ciso.contractor@arbofelipe2003outlook.onmicrosoft.com,CC-CYBERSEC-001,ENTERPRISEPREMIUM,TRUE,2025-05-06,2026-05-05,DisablePasswordExpiration,External,Public Trust,Completed,Signed
